window_id,source_csv,person,case,case_idx,front_video_path,side_video_path,front_fps,side_fps,window_sec,stride_sec,window_frames,stride_frames,min_coverage,start_frame,end_frame,start_time_sec,end_time_sec,center_time_sec,n_samples_in_window,samples_per_frame,front_duration_s,front_total_frames,side_duration_s,side_total_frames,label,split,fold_id
0,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,32,46,1.0667,1.5333,1.3,48,3.2,13.35,400,13.49,404,0,,
1,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,40,54,1.3333,1.8,1.5667,50,3.3333,13.35,400,13.49,404,0,,
2,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,48,62,1.6,2.0667,1.8333,50,3.3333,13.35,400,13.49,404,0,,
3,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,56,70,1.8667,2.3333,2.1,51,3.4,13.35,400,13.49,404,1,,
4,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,64,78,2.1333,2.6,2.3667,51,3.4,13.35,400,13.49,404,1,,
5,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,72,86,2.4,2.8667,2.6333,50,3.3333,13.35,400,13.49,404,1,,
6,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,80,94,2.6667,3.1333,2.9,50,3.3333,13.35,400,13.49,404,1,,
7,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,88,102,2.9333,3.4,3.1667,50,3.3333,13.35,400,13.49,404,1,,
8,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,96,110,3.2,3.6667,3.4333,50,3.3333,13.35,400,13.49,404,1,,
9,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,104,118,3.4667,3.9333,3.7,51,3.4,13.35,400,13.49,404,1,,
10,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,112,126,3.7333,4.2,3.9667,51,3.4,13.35,400,13.49,404,1,,
11,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,120,134,4.0,4.4667,4.2333,50,3.3333,13.35,400,13.49,404,1,,
12,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,128,142,4.2667,4.7333,4.5,50,3.3333,13.35,400,13.49,404,1,,
13,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,136,150,4.5333,5.0,4.7667,50,3.3333,13.35,400,13.49,404,1,,
14,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,144,158,4.8,5.2667,5.0333,50,3.3333,13.35,400,13.49,404,1,,
15,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,152,166,5.0667,5.5333,5.3,51,3.4,13.35,400,13.49,404,1,,
16,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,160,174,5.3333,5.8,5.5667,51,3.4,13.35,400,13.49,404,1,,
17,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,168,182,5.6,6.0667,5.8333,50,3.3333,13.35,400,13.49,404,1,,
18,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,176,190,5.8667,6.3333,6.1,50,3.3333,13.35,400,13.49,404,1,,
19,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,184,198,6.1333,6.6,6.3667,50,3.3333,13.35,400,13.49,404,1,,
20,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,192,206,6.4,6.8667,6.6333,50,3.3333,13.35,400,13.49,404,1,,
21,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,200,214,6.6667,7.1333,6.9,51,3.4,13.35,400,13.49,404,1,,
22,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,208,222,6.9333,7.4,7.1667,51,3.4,13.35,400,13.49,404,1,,
23,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,216,230,7.2,7.6667,7.4333,50,3.3333,13.35,400,13.49,404,1,,
24,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,224,238,7.4667,7.9333,7.7,50,3.3333,13.35,400,13.49,404,1,,
25,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,232,246,7.7333,8.2,7.9667,50,3.3333,13.35,400,13.49,404,1,,
26,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,240,254,8.0,8.4667,8.2333,50,3.3333,13.35,400,13.49,404,1,,
27,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,248,262,8.2667,8.7333,8.5,50,3.3333,13.35,400,13.49,404,1,,
28,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,256,270,8.5333,9.0,8.7667,51,3.4,13.35,400,13.49,404,1,,
29,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,264,278,8.8,9.2667,9.0333,50,3.3333,13.35,400,13.49,404,1,,
30,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,272,286,9.0667,9.5333,9.3,50,3.3333,13.35,400,13.49,404,1,,
31,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,280,294,9.3333,9.8,9.5667,50,3.3333,13.35,400,13.49,404,1,,
32,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,288,302,9.6,10.0667,9.8333,50,3.3333,13.35,400,13.49,404,1,,
33,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,296,310,9.8667,10.3333,10.1,50,3.3333,13.35,400,13.49,404,1,,
34,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,304,318,10.1333,10.6,10.3667,51,3.4,13.35,400,13.49,404,1,,
