window_id,source_csv,person,case,case_idx,front_video_path,side_video_path,front_fps,side_fps,window_sec,stride_sec,window_frames,stride_frames,min_coverage,start_frame,end_frame,start_time_sec,end_time_sec,center_time_sec,n_samples_in_window,samples_per_frame,front_duration_s,front_total_frames,side_duration_s,side_total_frames,label,split,fold_id
0,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,32,46,1.0667,1.5333,1.3,48,3.2,13.35,400,13.49,404,0,train,final
1,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,40,54,1.3333,1.8,1.5667,50,3.3333,13.35,400,13.49,404,0,train,final
2,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,48,62,1.6,2.0667,1.8333,50,3.3333,13.35,400,13.49,404,0,train,final
3,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,56,70,1.8667,2.3333,2.1,51,3.4,13.35,400,13.49,404,1,train,final
4,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,64,78,2.1333,2.6,2.3667,51,3.4,13.35,400,13.49,404,1,train,final
5,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,72,86,2.4,2.8667,2.6333,50,3.3333,13.35,400,13.49,404,1,train,final
6,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,80,94,2.6667,3.1333,2.9,50,3.3333,13.35,400,13.49,404,1,train,final
7,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,88,102,2.9333,3.4,3.1667,50,3.3333,13.35,400,13.49,404,1,train,final
8,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,96,110,3.2,3.6667,3.4333,50,3.3333,13.35,400,13.49,404,1,train,final
9,data\labeled_safe\benhur_exhale_hold_labeled.csv,benhur,exhale_hold,3,data\raw\videos\Benhur\benhur_3_front.mp4,data\raw\videos\Benhur\benhur_3_side.mp4,30.0,30.0,0.5,0.25,15,8,0.6,104,118,3.4667,3.9333,3.7,51,3.4,13.35,400,13.49,404,1,train,final
